time,pressure_bar
0,12.08383593
0.010091,12.08383415
0.020169,12.08383237
0.030249,12.08383094
0.040328,12.08382916
0.050408,12.08382774
0.060488,12.08382596
0.070567,12.08382454
0.080646,12.08382311
0.090726,12.08382169
0.100805,12.08382026
0.110907,12.08381884
0.120988,12.08381742
0.131068,12.08381599
0.141148,12.08381457
0.151229,12.08381314
0.16131,12.08381172
0.171389,12.08381029
0.181467,12.08380887
0.191547,12.08380745
0.201626,12.08380602
0.211727,12.0838046
0.221807,12.08380317
0.231886,12.08380175
0.241986,12.08380033
0.252067,12.0837989
0.262149,12.08379748
0.272229,12.08379605
0.282308,12.08379463
0.292388,12.08379321
0.302467,12.08379178
0.312577,12.08379036
0.322657,12.08378893
0.332736,12.08378751
0.34282,12.08378609
0.3529,12.08378466
0.362982,12.08378324
0.373063,12.08378181
0.383144,12.08378039
0.393224,12.08377896
0.403304,12.08377754
0.413394,12.08377612
0.423474,12.08377469
0.433555,12.08377327
0.443635,12.08377184
0.453715,12.08377042
0.463795,12.083769
0.473875,12.08376757
0.483955,12.08376615
0.494035,12.08376472
0.504115,12.0837633
0.514218,12.08376188
0.524299,12.08376045
0.534378,12.08375903
0.544458,12.0837576
0.554538,12.08375618
0.564619,12.08375476
0.574698,12.08375333
0.584778,12.08375191
0.594858,12.08375048
0.604938,12.08374906
0.615039,12.08374764
0.625119,12.08374621
0.6352,12.08374479
0.645279,12.08374336
0.655361,12.08374194
0.665441,12.08374051
0.675521,12.08373909
0.6856,12.08373767
0.69568,12.08373624
0.705766,12.08373482
0.715877,12.08373339
0.725989,12.08373197
0.736072,12.08373055
0.746152,12.08372912
0.756232,12.0837277
0.766311,12.08372627
0.7764,12.08372485
0.786481,12.08372343
0.796561,12.083722
0.806641,12.08372058
0.816732,12.08371915
0.826812,12.08371773
0.836893,12.08371631
0.846974,12.08371488
0.857054,12.08371346
0.867137,12.08371203
0.877224,12.08371061
0.887304,12.08370918
0.897378,12.08370776
0.907453,12.08370634
0.917554,12.08370491
0.927635,12.08370349
0.937711,12.08370206
0.947786,12.08370064
0.957864,12.08369922
0.967945,12.08369779
0.978026,12.08369637
0.988105,12.08369494
0.998185,12.08369352
1.008263,12.0836921
1.018353,12.08369067
1.028433,12.08368925
1.038513,12.08368782
